Fonction appelée	Format	Nom du rapport	Condition spécifique	Paramètres requis	CLIENT	GESTIONNAIRE	OCCUPANT	
getReportFacture	PDF	FACTURE	-------------	PKFACTURE	---	---	---	
getReportImmeuble ($pkImmeuble, $type, $energie, $date)	PDF	RELEVE_EAU_IMMEUBLE	-------------	PKIMMEUBLE, DATE	---	---	---	
getReportImmeuble ($pkImmeuble, $type, $energie, $date)	PDF	RELEVE_REPART_IMMEUBLE	-------------	PKIMMEUBLE, DATE	---	---	---	
getReportImmeuble ($pkImmeuble, $type, $energie, $date)	PDF	RELEVE_CET_IMMEUBLE	-------------	PKIMMEUBLE, DATE	---	---	---	
getReportImmeuble ($pkImmeuble, $type, $energie, $date)	PDF	NOTE_INFO_MENSUELLE	-------------	PKIMMEUBLE	---	---	---	
getReport	PDF	LIVRET_INTER_SYNTHESE	$docType == 'synthese-inte'	(PKIMMEUBLE + DATE1 + DATE2) OR (PKUSER + DATE1 + DATE2)	---	---	---	
getReport	PDF	LIVRET_INTER_DETAIL	$docType == 'detail-inte'	(PKIMMEUBLE + DATE1 + DATE2) OR (PKUSER + DATE1 + DATE2)	---	---	---	
getReportDepannage	PDF	INTERVENTION	-------------	WORKORDERNUMBER = $pkDepannage	---	---	---	
getReport	PDF	REPART_LOGEMENT	-------------	PKIMMEUBLE + PKLOGEMENT	---	---	---	
getReport	PDF	RELEVE_EAU_OCCUPANT	-------------	PKOCCUPANT	---	---	---	
getReport	PDF	REPART_OCCUPANT	-------------	PKIMMEUBLE + PKOCCUPANT	---	---	---	
getReport	PDF	NOTE_INFO_MENSUELLE	$energie == 'CHAUFFAGE'	PKOCCUPANT + TYPEERC=CHAUFFAGE + PKIMMEUBLE	---	---	---	
getReport	PDF	NOTE_INFO_MENSUELLE	-------------	PKOCCUPANT + TYPEERC=EAU + PKIMMEUBLE	---	---	---	
getExcel	Excel	LIVRET_INTER_LISTE	$docType == 'detail-excel-inte'	PKIMMEUBLE + DATE1 + DATE2	---	---	---	
getAnomaliesImmeuble	Excel	GetInfosAnomaliesByImmeuble	-------------	PKIMMEUBLE	---	---	---	
getAnomaliesImmeuble	Excel	GetInfosAnomaliesByImmeuble	-------------	PKIMMEUBLE + PKLOGEMENT	---	---	---	
getAnomaliesImmeuble	Excel	GetInfosAnomaliesByImmeuble	-------------	PKIMMEUBLE + PKLOGEMENT + PKOCCUPANT	---	---	---	
getAnomaliesImmeuble	Excel	GetInfosAnomaliesByImmeuble	-------------	PKIMMEUBLE + PKLOGEMENT + PKAPPAREIL	---	---	---	
getAnomaliesImmeuble	Excel	GetInfosAnomaliesByImmeuble	-------------	PKIMMEUBLE + PKLOGEMENT + PKOCCUPANT + PKAPPAREIL	---	---	---	
getAnomaliesImmeuble	Excel	GetInfosAnomaliesByImmeuble	-------------	PKIMMEUBLE +  PKAPPAREIL	---	---	---	
getFuitesImmeuble	Excel	GetInfosFuitesByImmeuble	-------------	PKIMMEUBLE	---	---	---	
getFuitesImmeuble	Excel	GetInfosFuitesByImmeuble	-------------	PKIMMEUBLE + PKLOGEMENT	---	---	---	
getFuitesImmeuble	Excel	GetInfosFuitesByImmeuble	-------------	PKIMMEUBLE + PKLOGEMENT + PKOCCUPANT	---	---	---	
getFuitesImmeuble	Excel	GetInfosFuitesByImmeuble	-------------	PkImmeuble + PKLOGEMENT + PKAPPAREIL	---	---	---	
getFuitesImmeuble	Excel	GetInfosFuitesByImmeuble	-------------	PkImmeuble + PKLOGEMENT + PKOCCUPANT + PKAPPAREIL	---	---	---	
getFuitesImmeuble	Excel	GetInfosFuitesByImmeuble	-------------	PkImmeuble +  PKAPPAREIL	---	---	---	
getInterventionsImmeuble	Excel	GetInfosDepannagesByImmeuble	-------------	PKIMMEUBLE	----	---	---	
getInterventionsImmeuble	Excel	GetInfosDepannagesByImmeuble	-------------	PKIMMEUBLE + PKLOGEMENT	---	---	---	
getInterventionsImmeuble	Excel	GetInfosDepannagesByImmeuble	-------------	PKIMMEUBLE + PKLOGEMENT + PKOCCUPANT	---	---	---	
getDysfonctionnementsImmeuble	Excel	GetInfosDysfonctionnementsByImmeuble	-------------	PKIMMEUBLE	---	---	---	
getDysfonctionnementsImmeuble	Excel	GetInfosDysfonctionnementsByImmeuble	-------------	PKIMMEUBLE + PKLOGEMENT	---	---	---	
getDysfonctionnementsImmeuble	Excel	GetInfosDysfonctionnementsByImmeuble	-------------	PKIMMEUBLE + PKLOGEMENT + PKOCCUPANT	---	---	---	
								
